CustomerID,Recency,Frequency,Monetary
12434,85,1.0,513.29
12435,80,1.0,652.8000000000001
12436,100,1.0,437.56000000000006
12437,2,8.5,2231.4350000000004
12438,15,2.0,2032.65
12441,367,1.0,173.55
12442,4,1.0,172.06
12444,22,5.0,2231.4350000000004
12445,23,1.0,115.80000000000001
12446,58,1.0,1002.3100000000001
12447,244,1.0,469.89
12448,45,1.0,377.25
12449,23,4.0,2231.4350000000004
12450,157,2.0,170.28
12451,11,5.0,2231.4350000000004
12452,17,2.0,381.47
12453,135,1.0,707.09
12454,57,1.0,576.0000000000001
12455,74,4.0,764.76
12456,45,3.0,2231.4350000000004
12457,67,7.0,1505.43
12458,72,1.0,442.88
12461,95,2.0,628.08
12462,19,1.0,381.88
12463,54,4.0,1344.78
12464,11,6.0,606.9000000000001
12465,18,2.0,739.79
12468,188,1.0,476.55
12471,3,8.5,2231.4350000000004
12472,33,5.0,2231.4350000000004
12473,30,5.0,2231.4350000000004
12474,18,8.5,2231.4350000000004
12475,54,1.0,696.6800000000001
12476,16,8.5,2231.4350000000004
12477,23,5.0,2231.4350000000004
12478,4,1.0,584.39
12479,12,1.0,511.6
12480,29,3.0,2065.41
12481,23,8.5,2231.4350000000004
12483,18,8.0,1873.2400000000002
12484,33,6.0,2231.4350000000004
12488,10,3.0,1148.24
12489,337,1.0,334.93
12490,6,8.5,2231.4350000000004
12491,39,1.0,452.0
12492,64,2.0,263.21000000000004
12493,166,2.0,433.74
12494,16,6.0,994.7
12497,82,1.0,505.80000000000007
12498,22,3.0,403.70000000000005
12500,24,8.0,1224.94
12501,337,1.0,2063.79
12502,96,3.0,1749.22
12504,19,2.0,246.25000000000003
12506,233,1.0,73.5
12507,135,2.0,294.30000000000007
12508,27,2.0,397.88
12510,143,2.0,691.45
12512,67,2.0,132.18
12513,113,1.0,596.69
12515,354,1.0,317.1
12516,78,2.0,817.2800000000001
12517,29,5.0,2231.4350000000004
12518,1,5.0,2006.43
12519,64,1.0,315.24
12520,80,3.0,1310.18
12521,143,1.0,580.88
12522,40,2.0,192.72
12523,20,8.5,1530.08
12524,10,6.0,2231.4350000000004
12526,1,3.0,1283.06
12527,82,2.0,196.31
12528,10,4.0,1079.02
12530,60,4.0,1474.7800000000002
12531,15,1.0,125.22
12532,31,1.0,343.23
12534,131,1.0,1018.18
12535,92,2.0,704.05
12536,44,3.0,2231.4350000000004
12538,30,1.0,362.55
12539,23,2.0,2231.4350000000004
12540,20,8.5,2231.4350000000004
12541,30,2.0,613.88
12544,37,1.0,355.1
12545,76,1.0,326.64
12546,47,2.0,1098.3
12547,198,1.0,48.4
12548,167,1.0,95.19999999999999
12550,80,1.0,863.23
12551,358,1.0,168.0
12552,39,2.0,356.22
12553,9,7.0,2231.4350000000004
12556,51,2.0,599.56
12557,17,5.0,1233.6000000000001
12558,8,1.0,221.96
12560,6,3.0,1920.6100000000001
12562,9,7.0,2231.4350000000004
12566,87,1.0,336.05
12567,23,8.5,2231.4350000000004
12569,3,8.5,2231.4350000000004
12571,40,2.0,519.61
12572,9,2.0,962.82
12573,228,1.0,160.54000000000002
12576,36,4.0,1048.98
12577,36,3.0,626.6
12578,22,2.0,2231.4350000000004
12579,79,1.0,424.82
12580,247,1.0,415.7
12581,40,1.0,197.71
12582,239,1.0,224.60000000000002
12583,3,8.5,2231.4350000000004
12584,4,8.0,1672.5700000000002
12585,235,2.0,1685.5
12586,18,1.0,196.94000000000003
12587,8,1.0,136.0
12588,40,1.0,213.3
12589,29,2.0,618.48
12590,212,2.0,2231.4350000000004
12592,93,2.0,437.6
12593,109,3.0,417.0
12594,38,8.5,2231.4350000000004
12596,52,2.0,499.23
12597,20,3.0,2231.4350000000004
12598,10,7.0,2188.8
12599,30,5.0,689.52
12600,29,8.0,1299.42
12601,190,4.0,425.21
12602,59,1.0,153.12
12603,22,1.0,76.80000000000001
12604,80,1.0,75.68
12607,61,1.0,1578.31
12609,79,2.0,787.32
12610,23,5.0,1898.74
12611,53,1.0,1086.52
12612,75,1.0,578.0400000000001
12613,58,3.0,2231.4350000000004
12615,3,4.0,2066.59
12616,96,1.0,420.4
12617,30,1.0,352.98
12618,22,1.0,175.71
12619,17,8.5,2137.28
12620,15,3.0,1337.81
12621,2,8.5,2231.4350000000004
12622,233,1.0,180.1
12624,107,2.0,641.13
12625,212,1.0,679.0
12626,24,8.0,2231.4350000000004
12627,11,7.0,2231.4350000000004
12628,5,3.0,774.86
12630,10,2.0,1107.68
12631,58,1.0,518.9
12633,59,3.0,1096.3600000000001
12635,90,2.0,1585.98
12637,68,6.0,2231.4350000000004
12638,34,1.0,550.09
12639,239,1.0,404.5
12640,24,3.0,1056.92
12641,116,1.0,184.3
12642,26,3.0,887.74
12643,129,6.0,815.8400000000001
12644,130,1.0,477.91
12645,34,3.0,1238.28
12646,5,2.0,1154.8500000000001
12647,23,8.5,2231.4350000000004
12648,155,1.0,311.7
12649,108,3.0,575.21
12650,4,1.0,224.44
12651,335,1.0,114.0
12652,332,1.0,823.98
12653,149,1.0,753.32
12654,11,4.0,435.38
12656,18,5.0,2231.4350000000004
12657,12,4.0,1165.48
12658,19,1.0,669.25
12659,30,1.0,91.68
12660,12,1.0,245.1
12662,1,8.5,2231.4350000000004
12664,9,8.5,1257.6000000000001
12665,325,1.0,63.0
12667,59,1.0,498.53000000000003
12668,12,2.0,1163.25
12669,151,3.0,1542.93
12670,11,5.0,2231.4350000000004
12672,330,1.0,210.75
12673,6,2.0,603.32
12674,39,4.0,1714.3400000000001
12676,25,4.0,617.59
12678,43,8.5,2231.4350000000004
12679,59,3.0,205.20000000000002
12680,1,4.0,862.81
12681,15,8.5,2231.4350000000004
12682,4,8.5,2231.4350000000004
12683,5,8.5,2231.4350000000004
12684,8,7.0,2108.79
12685,29,6.0,2231.4350000000004
12686,372,1.0,89.14
12688,114,1.0,2231.4350000000004
12689,26,2.0,1205.45
12690,206,1.0,361.81
12691,29,4.0,546.2
12693,128,2.0,399.21000000000004
12694,71,2.0,775.9200000000001
12695,8,4.0,528.1
12697,29,3.0,822.5400000000001
12700,8,4.0,2231.4350000000004
12701,80,2.0,797.71
12702,20,1.0,219.0
12703,72,1.0,283.55
12704,8,8.0,1826.88
12705,16,8.5,2231.4350000000004
12708,30,8.5,2231.4350000000004
12709,16,8.5,2231.4350000000004
12710,97,3.0,1115.42
12712,29,8.5,2231.4350000000004
12713,1,1.0,782.1
12714,10,4.0,2231.4350000000004
12715,107,1.0,301.76
12716,4,2.0,1037.89
12717,152,2.0,906.23
12718,72,1.0,238.25
12719,6,2.0,644.95
12720,3,8.5,2231.4350000000004
12721,32,5.0,2127.91
12722,86,4.0,933.4300000000001
12723,4,5.0,689.82
12724,6,4.0,1003.21
12725,372,1.0,410.20000000000005
12726,29,5.0,1830.78
12727,11,3.0,1359.76
12728,72,3.0,632.01
12729,114,1.0,453.01
12731,24,8.5,2231.4350000000004
12732,180,1.0,234.66000000000003
12733,235,1.0,345.85
12734,353,1.0,93.60000000000001
12735,338,1.0,319.77
12736,333,1.0,153.60000000000002
12738,373,1.0,155.35
12739,79,2.0,723.54
12740,64,1.0,427.6
12743,135,2.0,540.13
12744,52,6.0,2231.4350000000004
12747,3,8.5,2231.4350000000004
12748,1,8.5,2231.4350000000004
12749,4,5.0,2231.4350000000004
12750,129,1.0,273.6
12752,82,1.0,1725.6200000000001
12753,23,4.0,2231.4350000000004
12754,236,1.0,537.6000000000001
12755,366,1.0,38.400000000000006
12756,87,1.0,89.28
12757,16,8.5,2231.4350000000004
12758,117,1.0,1014.1000000000001
12759,53,2.0,1073.44
12762,8,2.0,1416.7700000000002
12763,139,2.0,375.28000000000003
12766,4,6.0,2231.4350000000004
12769,239,1.0,800.34
12770,211,1.0,460.80000000000007
12772,60,1.0,790.87
12775,18,3.0,888.08
12778,20,3.0,398.57
12779,38,6.0,2231.4350000000004
12781,64,1.0,251.64000000000001
12782,5,4.0,1474.19
12783,3,6.0,1515.8700000000001
12784,10,2.0,515.22
12785,365,1.0,290.75
12787,10,3.0,434.86
12789,66,1.0,90.30000000000001
12790,193,1.0,323.52000000000004
12791,374,1.0,53.400000000000006
12792,257,1.0,382.94
12793,335,2.0,500.28000000000003
12794,54,2.0,832.8100000000001
12795,19,1.0,334.98
12797,366,1.0,254.03
12798,11,3.0,307.20000000000005
12802,187,1.0,427.58
12808,37,3.0,483.65000000000003
12809,178,1.0,443.71000000000004
12812,45,1.0,229.64000000000001
12814,102,1.0,76.80000000000001
12815,148,2.0,939.0600000000001
12816,96,2.0,527.45
12820,4,4.0,942.34
12821,215,1.0,92.72
12822,71,2.0,882.88
12823,75,3.0,115.20000000000002
12824,60,1.0,387.82
12826,3,6.0,1145.34
12827,6,3.0,424.0
12828,3,6.0,1003.6600000000001
12829,337,2.0,239.05
12830,38,6.0,1459.2000000000003
12832,33,2.0,383.03
12833,146,1.0,417.38
12836,60,3.0,1738.8600000000001
12837,174,1.0,134.1
12838,34,2.0,671.95
12839,3,8.5,2231.4350000000004
12840,144,4.0,2231.4350000000004
12841,5,8.5,2231.4350000000004
12842,71,1.0,533.98
12843,66,7.0,1545.46
12844,30,2.0,325.96000000000004
12847,23,1.0,828.49
12849,32,1.0,222.64000000000001
12851,97,1.0,131.81
12853,135,5.0,1305.1000000000001
12854,79,2.0,815.69
12855,373,1.0,38.1
12856,8,6.0,2156.86
12857,211,1.0,304.8
12863,53,1.0,165.0
12864,139,1.0,66.0
12865,27,2.0,1568.23
12867,27,5.0,2231.4350000000004
12868,186,4.0,1176.3400000000001
12871,85,2.0,212.64000000000001
12872,327,2.0,597.07
12875,144,2.0,76.80000000000001
12876,58,2.0,1879.42
12877,4,8.5,1374.97
12878,237,1.0,539.81
12879,45,3.0,283.72
12882,10,2.0,499.20000000000005
12883,25,4.0,703.47
12884,89,1.0,177.45000000000002
12885,64,3.0,1166.82
12886,68,2.0,1378.4
12888,215,2.0,178.8
12890,25,1.0,370.12
12891,186,2.0,76.80000000000001
12893,31,1.0,176.55
12895,43,2.0,372.8
12897,205,1.0,68.10000000000001
12901,9,8.5,2231.4350000000004
12904,19,2.0,483.46
12906,12,5.0,1703.93
12908,177,1.0,38.400000000000006
12909,40,5.0,1646.07
12910,24,8.0,2154.52
12912,3,5.0,891.6000000000001
12913,5,3.0,1117.8200000000002
12915,149,2.0,363.65
12916,139,3.0,1625.5
12917,129,1.0,76.80000000000001
12919,9,6.0,1138.31
12920,18,1.0,162.78
12921,10,8.5,2231.4350000000004
12922,162,1.0,405.38
12923,65,1.0,172.82
12924,89,3.0,449.80000000000007
12925,5,2.0,694.05
12928,36,5.0,1819.5
12930,79,2.0,415.8
12931,22,8.5,2231.4350000000004
12933,25,2.0,496.78
12935,3,6.0,1722.87
12936,18,4.0,885.1
12937,16,3.0,1220.8400000000001
12938,26,1.0,114.14
12939,65,6.0,1036.8000000000002
12940,55,2.0,887.09
12942,132,3.0,675.6
12944,36,2.0,603.11
12947,144,6.0,1467.99
12948,17,5.0,1535.99
12949,31,8.0,2231.4350000000004
12950,3,3.0,732.2
12951,9,5.0,946.6700000000001
12952,6,4.0,1387.79
12953,10,1.0,329.85
12955,2,8.5,2231.4350000000004
12957,10,8.0,2231.4350000000004
12962,8,2.0,266.39
12963,9,8.0,1820.58
12965,90,1.0,769.8100000000001
12966,10,1.0,160.18
12967,359,2.0,657.7
12968,113,1.0,113.15
12970,8,4.0,405.47
12971,4,8.5,2231.4350000000004
12974,198,1.0,144.8
12976,212,1.0,418.8
12977,157,1.0,39.239999999999995
12980,158,6.0,576.0000000000001
12981,30,2.0,372.21999999999997
12982,243,1.0,390.54
12984,19,1.0,97.5
12985,1,2.0,1224.6200000000001
12987,74,2.0,547.15
12989,4,8.5,1249.63
12990,32,2.0,296.00000000000006
12991,24,2.0,499.66
12993,24,3.0,311.86
12994,5,2.0,621.82
12995,86,1.0,114.72000000000001
12997,23,3.0,838.6600000000001
12999,197,3.0,417.78000000000003
13000,107,2.0,240.15000000000003
13001,5,8.0,2231.4350000000004
13003,106,3.0,127.45000000000002
13004,12,8.5,2231.4350000000004
13005,174,2.0,477.1
13006,57,1.0,81.57
13008,324,1.0,229.46999999999997
13011,373,1.0,50.550000000000004
13012,10,7.0,1256.17
13013,2,8.5,2231.4350000000004
13014,11,8.0,1994.75
13015,54,5.0,2231.4350000000004
13016,74,3.0,789.89
13017,8,1.0,38.400000000000006
13018,17,8.5,2231.4350000000004
13021,5,8.0,2204.96
13023,65,2.0,676.7
13026,2,4.0,682.32
13027,114,5.0,883.2000000000002
13028,23,2.0,661.3199999999999
13029,31,3.0,231.70000000000002
13030,12,2.0,735.49
13032,53,2.0,999.08
13033,358,1.0,190.55
13034,55,2.0,642.77
13035,74,1.0,433.68000000000006
13037,139,3.0,865.6700000000001
13038,81,2.0,302.76000000000005
13040,9,2.0,676.99
13045,100,1.0,298.88
13046,31,1.0,384.99
13047,32,8.5,2231.4350000000004
13048,15,4.0,1807.41
13049,65,1.0,237.40000000000003
13050,15,8.5,2231.4350000000004
13052,213,1.0,318.7
13055,79,3.0,1212.01
13058,25,3.0,186.05
13059,250,1.0,132.55
13060,254,1.0,284.73
13061,73,1.0,223.86
13062,192,1.0,248.70000000000002
13064,13,4.0,1078.39
13065,374,1.0,205.86
13066,25,2.0,469.3
13067,83,1.0,115.46000000000001
13068,11,1.0,38.400000000000006
13069,1,8.5,2231.4350000000004
13070,193,1.0,222.4
13075,130,1.0,687.4100000000001
13077,2,2.0,415.99
13078,4,8.5,2231.4350000000004
13079,5,5.0,163.3
13080,180,1.0,58.08
13081,12,8.0,2231.4350000000004
13082,127,8.0,1326.69
13083,5,2.0,303.75
13085,158,1.0,137.98000000000002
13089,3,8.5,2231.4350000000004
13090,9,8.5,2231.4350000000004
13091,29,1.0,344.62
13092,71,4.0,366.23
13093,331,5.0,2231.4350000000004
13094,22,8.5,844.8000000000002
13095,71,1.0,74.39999999999999
13097,33,8.0,2231.4350000000004
13098,2,8.5,2231.4350000000004
13099,100,1.0,38.400000000000006
13101,235,1.0,101.19
13102,2,8.5,2231.4350000000004
13103,40,1.0,215.44
13104,4,5.0,498.96000000000004
13106,134,1.0,38.400000000000006
13107,45,4.0,1266.18
13108,373,1.0,269.06
13109,60,2.0,773.94
13110,32,5.0,947.32
13113,1,8.5,2231.4350000000004
13115,12,4.0,2231.4350000000004
13116,139,1.0,501.14
13117,22,6.0,782.53
13118,20,4.0,882.5
13120,239,1.0,30.599999999999998
13122,95,2.0,922.39
13124,90,3.0,2231.4350000000004
13126,5,7.0,1863.6
13127,78,1.0,259.17
13130,95,1.0,63.400000000000006
13131,24,3.0,843.6
13134,86,4.0,1742.88
13135,197,1.0,38.400000000000006
13136,57,5.0,2231.4350000000004
13137,11,7.0,2231.4350000000004
13138,23,6.0,962.39
13139,17,6.0,2231.4350000000004
13140,109,3.0,422.47
13141,85,3.0,1768.78
13142,20,1.0,307.09
13144,333,1.0,85.60000000000001
13145,40,4.0,194.52000000000004
13146,27,1.0,209.71
13147,11,4.0,153.60000000000002
13148,30,8.0,2231.4350000000004
13149,15,3.0,1194.32
13153,6,1.0,304.62
13155,34,4.0,963.36
13157,50,3.0,1507.5
13158,95,3.0,944.65
13159,9,4.0,1393.05
13160,23,1.0,91.8
13162,123,4.0,1576.0900000000001
13165,47,2.0,798.6800000000001
13167,19,4.0,787.97
13168,37,2.0,457.36
13169,64,2.0,370.88000000000005
13170,27,1.0,108.81
13171,22,2.0,271.66
13173,5,2.0,353.65
13174,17,2.0,2049.13
13176,47,1.0,481.49
13177,65,1.0,282.45
13178,27,8.5,2231.4350000000004
13182,46,1.0,121.18
13183,8,8.0,1981.4
13184,15,8.5,1406.33
13186,40,3.0,1540.43
13187,338,1.0,236.02
13188,12,1.0,53.400000000000006
13189,19,2.0,260.68
13192,96,2.0,911.94
13193,62,1.0,112.08
13194,136,1.0,60.7
13196,12,3.0,1270.95
13198,11,5.0,2231.4350000000004
13199,4,8.5,2231.4350000000004
13200,20,4.0,795.87
13203,10,4.0,866.71
13207,16,2.0,217.26000000000002
13208,59,5.0,1033.8
13209,31,8.0,2231.4350000000004
13210,94,1.0,353.48
13211,11,3.0,635.82
13212,20,3.0,775.23
13213,57,5.0,1457.58
13217,123,3.0,153.60000000000002
13218,128,1.0,62.63999999999999
13220,79,4.0,440.04
13221,241,2.0,826.41
13223,201,2.0,100.80000000000001
13224,61,2.0,1768.99
13225,4,6.0,1075.2000000000003
13227,202,1.0,205.20000000000002
13228,82,1.0,76.80000000000001
13229,226,1.0,160.95
13230,5,8.5,2001.82
13232,13,7.0,1328.35
13233,75,2.0,596.72
13235,213,1.0,939.27
13236,25,2.0,740.53
13238,18,4.0,635.13
13240,97,4.0,663.65
13242,113,3.0,270.40000000000003
13243,204,1.0,585.12
13244,93,1.0,121.74000000000001
13245,51,1.0,430.5
13246,19,5.0,1125.8300000000002
13247,18,4.0,475.20000000000005
13248,125,2.0,465.68
13249,93,2.0,204.53000000000003
13253,157,2.0,778.6800000000001
13255,10,2.0,333.71000000000004
13258,12,3.0,602.38
13259,62,1.0,283.18
13260,62,1.0,235.92000000000002
13263,2,8.5,2231.4350000000004
13265,54,4.0,1360.02
13266,12,8.5,2231.4350000000004
13267,3,8.5,2231.4350000000004
13268,18,8.5,2231.4350000000004
13269,2,8.5,2231.4350000000004
13270,367,1.0,38.400000000000006
13271,38,1.0,211.49
13272,32,2.0,276.56
13273,114,1.0,138.98
13276,64,2.0,578.63
13277,16,4.0,236.20000000000002
13278,41,1.0,541.29
13279,79,1.0,137.75
13280,123,2.0,406.45
13282,19,3.0,911.7400000000001
13283,60,2.0,93.66
13284,331,1.0,201.19
13285,24,3.0,2042.23
13291,156,1.0,361.11
13292,39,1.0,328.17
13294,190,2.0,873.74
13295,360,1.0,201.20000000000002
13296,138,1.0,87.4
13297,8,4.0,1667.6000000000001
13298,2,1.0,76.80000000000001
13300,170,1.0,371.89
13301,104,3.0,444.18
13302,156,1.0,38.400000000000006
13304,352,1.0,300.42
13305,5,8.0,1606.66
13307,121,1.0,15.0
13308,23,3.0,1102.8700000000001
13309,8,4.0,1063.98
13310,29,3.0,1132.03
13311,5,2.0,490.25
13313,23,5.0,1520.3200000000002
13314,2,3.0,775.94
13316,38,4.0,1830.3300000000002
13317,67,6.0,2231.4350000000004
13318,2,3.0,481.88
13319,6,8.5,2231.4350000000004
13320,79,4.0,1532.2
13321,73,2.0,290.84000000000003
13322,18,1.0,192.88
13323,4,5.0,543.95
13324,37,8.5,2231.4350000000004
13325,82,1.0,319.70000000000005
13327,39,6.0,2231.4350000000004
13329,32,2.0,489.18000000000006
13330,93,2.0,773.91
13332,15,1.0,350.9
13334,83,2.0,1829.13
13336,78,1.0,795.12
13338,158,1.0,369.22
13339,201,1.0,860.12
13340,46,6.0,2231.4350000000004
13343,178,1.0,341.83000000000004
13344,68,2.0,852.34
13347,71,1.0,298.56000000000006
13348,65,1.0,233.76
13349,11,1.0,235.72
13350,17,2.0,863.97
13351,67,1.0,362.34000000000003
13352,61,1.0,386.38
13354,72,1.0,742.33
13355,123,1.0,608.7
13356,81,1.0,746.04
13357,258,1.0,607.0
13359,64,1.0,427.96000000000004
13362,10,3.0,2230.04
13363,18,2.0,969.3000000000001
13364,72,1.0,134.95999999999998
13365,34,2.0,2171.87
13366,51,1.0,38.400000000000006
13368,257,2.0,593.2
13369,366,1.0,295.08000000000004
13370,372,1.0,753.47
13372,90,1.0,367.04
13373,61,2.0,2130.7000000000003
13375,89,1.0,715.05
13376,100,3.0,984.96
13379,27,3.0,572.56
13381,32,5.0,2231.4350000000004
13384,31,7.0,2231.4350000000004
13385,330,1.0,523.07
13388,132,2.0,650.85
13389,12,3.0,797.96
13390,75,1.0,339.48
13391,204,1.0,38.400000000000006
13394,2,6.0,1722.3400000000001
13395,186,1.0,307.72
13396,30,1.0,747.62
13397,73,4.0,820.1400000000001
13398,193,1.0,457.34
13402,128,2.0,594.53
13403,18,1.0,68.4
13404,2,2.0,227.14000000000001
13405,75,2.0,411.0
13408,2,8.5,2231.4350000000004
13410,25,3.0,425.62000000000006
13411,108,1.0,213.55
13414,134,2.0,584.58
13416,44,2.0,569.1
13417,5,2.0,640.83
13418,12,8.5,2231.4350000000004
13419,64,1.0,221.06
13420,150,2.0,159.85
13421,41,1.0,879.2700000000001
13422,65,1.0,2231.4350000000004
13425,109,2.0,1015.5200000000001
13426,1,8.5,2231.4350000000004
13427,20,3.0,533.0
13428,11,1.0,201.78
13429,11,4.0,991.0
13430,19,2.0,666.85
13431,68,2.0,975.1
13434,75,2.0,243.84000000000003
13435,6,7.0,2225.82
13436,2,1.0,196.89
13437,15,7.0,2231.4350000000004
13439,256,1.0,283.71
13441,92,1.0,245.12
13447,24,3.0,1097.13
13448,17,6.0,2231.4350000000004
13449,24,1.0,291.88
13450,27,6.0,1717.0800000000002
13451,27,4.0,2231.4350000000004
13453,166,1.0,171.98
13455,25,2.0,995.0400000000001
13456,18,6.0,1322.8200000000002
13458,8,8.5,2231.4350000000004
13460,30,2.0,183.44
13461,39,3.0,965.4000000000001
13462,253,1.0,151.5
13464,59,1.0,674.68
13466,185,1.0,307.9
13467,11,2.0,1067.91
13468,2,8.5,2231.4350000000004
13470,100,2.0,165.0
13471,2,4.0,2231.4350000000004
13473,61,2.0,413.44
13474,237,1.0,226.84
13475,192,2.0,525.26
13476,179,1.0,508.47
13477,38,5.0,1221.96
13479,201,2.0,299.75
13481,46,5.0,1798.96
13482,233,1.0,184.64
13483,66,1.0,140.34
13484,242,1.0,226.50000000000003
13485,234,1.0,420.64
13486,79,3.0,1121.21
13487,58,3.0,575.4
13488,18,8.5,2231.4350000000004
13489,106,2.0,166.56
13491,52,6.0,658.0
13492,137,3.0,1158.54
13495,8,5.0,1344.42
13496,11,2.0,608.33
13497,369,1.0,153.5
13499,18,4.0,853.9200000000001
13500,24,3.0,1165.57
13502,17,2.0,196.44
13503,72,1.0,216.85
13504,65,1.0,295.93
13505,73,4.0,2231.4350000000004
13506,370,1.0,301.12
13507,4,4.0,2231.4350000000004
13508,244,1.0,110.97
13509,9,5.0,614.1600000000001
13510,2,4.0,1789.16
13513,127,1.0,183.5
13514,74,1.0,147.60000000000002
13515,73,4.0,891.12
13516,22,3.0,827.4100000000001
13517,60,3.0,2128.42
13518,86,1.0,627.16
13519,79,1.0,122.75
13520,59,5.0,1936.8700000000001
13521,2,3.0,1071.73
13522,31,1.0,125.80000000000001
13523,34,5.0,2231.4350000000004
13524,41,5.0,672.98
13525,15,2.0,215.90000000000003
13527,34,7.0,2231.4350000000004
13529,79,2.0,282.86
13531,206,2.0,475.40000000000003
13532,34,1.0,210.31
13533,183,1.0,124.14999999999999
13534,3,8.5,2231.4350000000004
13536,2,7.0,2231.4350000000004
13538,44,5.0,599.2500000000001
13539,86,2.0,467.24
13544,40,2.0,276.06
13546,13,3.0,621.09
13548,97,2.0,662.38
13549,26,7.0,910.4
13552,67,8.5,2231.4350000000004
13555,74,4.0,2231.4350000000004
13557,29,1.0,321.78
13558,6,4.0,594.52
13560,8,1.0,171.42000000000002
13561,216,1.0,98.66
13562,82,3.0,1737.68
13563,85,2.0,525.13
13564,145,3.0,1183.51
13565,20,2.0,240.22
13566,41,2.0,847.64
13568,174,1.0,187.05
13569,18,2.0,338.62
13570,244,1.0,235.17000000000002
13571,13,8.5,2088.94
13572,206,1.0,957.8300000000002
13573,51,2.0,287.40000000000003
13575,24,5.0,728.87
13576,11,8.5,2231.4350000000004
13577,26,4.0,1587.9
13579,15,2.0,454.14000000000004
13583,156,1.0,781.03
13587,64,1.0,249.60000000000002
13588,16,8.5,2231.4350000000004
13589,15,2.0,379.65
13590,12,5.0,1438.26
13591,65,2.0,616.83
13592,36,3.0,171.24
13593,109,3.0,1540.28
13594,53,1.0,396.97
13596,6,2.0,664.11
13598,48,1.0,160.04
13599,2,8.5,2231.4350000000004
13601,46,2.0,693.32
13602,65,1.0,428.89
13603,27,1.0,164.34
13606,30,2.0,206.73
13607,41,1.0,675.51
13610,13,6.0,848.21
13611,90,3.0,1127.16
13614,25,4.0,1573.01
13617,41,3.0,524.83
13618,174,1.0,177.34
13621,117,1.0,213.85
13623,31,3.0,396.36
13626,253,1.0,257.23
13627,60,5.0,1472.15
13629,24,8.5,1641.9600000000003
13630,6,6.0,1066.4
13631,100,8.5,384.00000000000006
13632,25,5.0,2072.85
13634,34,5.0,1532.16
13635,68,1.0,1064.43
13636,37,3.0,657.27
13637,53,3.0,804.3
13638,16,1.0,122.64
13639,75,1.0,738.32
13642,216,1.0,312.28
13643,32,3.0,519.44
13644,17,4.0,2231.4350000000004
13645,121,1.0,165.70000000000002
13647,10,4.0,1479.02
13649,257,2.0,301.6
13650,17,5.0,1430.42
13651,36,2.0,94.2
13652,46,3.0,1095.08
13654,44,5.0,2231.4350000000004
13655,115,2.0,931.57
13656,165,2.0,379.65
13657,11,2.0,331.5
13658,10,5.0,2231.4350000000004
13659,206,1.0,527.8
13662,86,2.0,653.56
13663,180,1.0,189.47
13666,61,1.0,20.6
13667,150,1.0,299.05
13668,3,8.5,2231.4350000000004
13669,51,2.0,216.15
13670,76,1.0,349.7
13672,333,1.0,62.13
13673,19,2.0,376.34000000000003
13675,152,1.0,178.38000000000002
13678,152,1.0,232.6
13680,2,4.0,2231.4350000000004
13681,18,4.0,822.13
13682,188,1.0,59.5
13685,3,7.0,443.32000000000005
13686,183,1.0,72.0
13689,64,1.0,207.00000000000003
13690,60,1.0,165.8
13692,25,3.0,994.7600000000001
13694,4,8.5,2231.4350000000004
13695,32,8.5,2003.3100000000002
13697,39,1.0,151.29999999999998
13699,156,1.0,308.58000000000004
